VALUE,YEAR
13.40118019,1983
14.62802845,1984
13.59511315,1985
12.65181948,1986
13.71186351,1987
12.34947502,1988
11.54867399,1989
9.208457677,1990
8.497830722,1991
8.815643711,1992
7.366757862,1993
7.925336057,1994
8.616111364,1995
8.016058205,1996
6.551470007,1997
6.823744871,1998
5.815251192,1999
5.9941938,2000
5.586703233,2001
7.529659045,2002
9.638783006,2003
10.99679087,2004
8.745836743,2005
8.91384523,2006
8.499364189,2007
9.168924036,2008
7.886996096,2009
7.202064507,2010
8.829161999,2011
8.121772485,2012
7.616200627,2013
6.735462172,2014
6.131441943,2015
6.678719663,2016
5.406399049,2017
5.823866393,2018
6.502795597,2019
7.206702914,2020
7.734267745,2021
6.918402776,2022
6.091009398,2023
6.421888218,2024
