VALUE,YEAR
78.37366928,1971
79.88308116,1972
77.36792092,1973
77.60650891,1974
78.61807168,1975
78.26697452,1976
76.52270215,1977
76.51124915,1978
78.96080275,1979
74.66670551,1980
71.85954522,1981
69.15497115,1982
61.47545481,1983
57.99725255,1984
55.74922816,1985
53.25373143,1986
55.03557117,1987
64.06564172,1988
66.79733687,1989
58.66997934,1990
61.7111467,1991
64.06373654,1992
60.27272659,1993
56.91651974,1994
60.72254361,1995
65.50947333,1996
64.14710309,1997
64.62242243,1998
70.24568939,1999
65.17284417,2000
58.88739939,2001
55.79019449,2002
55.63445262,2003
63.25076306,2004
63.27733022,2005
67.70578307,2006
61.87527325,2007
64.71136225,2008
60.64908997,2009
50.03140418,2010
56.0551124,2011
58.40715674,2012
52.91635378,2013
46.27030789,2014
