VALUE,YEAR
2529957,1960
2562044,1961
2593298,1962
2623766,1963
2653180,1964
2681169,1965
2707646,1966
2732277,1967
2754606,1968
2773974,1969
2790807,1970
2806462,1971
2821644,1972
2837133,1973
2853944,1974
2872320,1975
2891392,1976
2909461,1977
2925715,1978
2939903,1979
2951953,1980
2963246,1981
2975492,1982
2988778,1983
3002488,1984
3017037,1985
3032845,1986
3049896,1987
3067961,1988
3086255,1989
3104403,1990
3122354,1991
3139702,1992
3156345,1993
3172834,1994
3189440,1995
3206324,1996
3223345,1997
3239280,1998
3254015,1999
3266206,2000
3274251,2001
3278867,2002
3281186,2003
3283148,2004
3285771,2005
3289506,2006
3295153,2007
3302177,2008
3310091,2009
3318580,2010
3326825,2011
3335401,2012
3345337,2013
3356334,2014
3368017,2015
3379283,2016
3388438,2017
3394534,2018
3397206,2019
3398968,2020
3396695,2021
3390913,2022
3388081,2023
