VALUE,YEAR
28.86,1970
28.476,1971
29.3707,1972
30.1748,1973
31.3257,1974
33.3138,1975
31.756,1976
31.4162,1977
31.7899,1978
33.4449,1979
35.5332,1980
35.7052,1981
34.896,1982
30.6391,1983
28.9756,1984
29.4898,1985
29.6519,1986
31.4579,1987
33.5341,1988
32.1993,1989
29.2532,1990
31.1376,1991
33.0628,1992
33.7915,1993
33.9226,1994
34.2673,1995
35.6697,1996
35.3779,1997
34.9608,1998
36.1162,1999
34.2044,2000
33.7786,2001
34.5215,2002
35.4633,2003
37.5407,2004
37.7033,2005
39.711,2006
38.7964,2007
42.46,2008
41.8284,2009
38.8179,2010
40.0805,2011
40.6411,2012
39.4307,2013
39.5672,2014
39.9937,2015
40.2134,2016
39.3442,2017
39.0017,2018
39.5236,2019
38.9164,2020
42.5713,2021
42.1519,2022
41.6341,2023
