VALUE,YEAR
16784217051,1960
17202653947,1961
16931789757,1962
16960651492,1963
17374579716,1964
17556249026,1965
18093971641,1966
17432305114,1967
17761585972,1968
18803256922,1969
19241977028,1970
19193542753,1971
18940270548,1972
18992394100,1973
19542289357,1974
20733765994,1975
21549737170,1976
21863385229,1977
23038320348,1978
24466492719,1979
25896167975,1980
26300034208,1981
23733710676,1982
21295214497,1983
21051891661,1984
21360625237,1985
23242455371,1986
25100256718,1987
25471975823,1988
25753161225,1989
25829737832,1990
26743802791,1991
28865011155,1992
29632112135,1993
31789727752,1994
31329539981,1995
33077088489,1996
35904413225,1997
37526894199,1998
36956130432,1999
36242902750,2000
34849678467,2001
32155098813,2002
32414038652,2003
34036089124,2004
36575226345,2005
38074290289,2006
40564924117,2007
43475921755,2008
45320819971,2009
48857389210,2010
51379472634,2011
53197370201,2012
55664418794,2013
57467273108,2014
57680327999,2015
58655009160,2016
59675827117,2017
59774159518,2018
60329073610,2019
55890466349,2020
59156857854,2021
61810768801,2022
62269484309,2023
64204978532,2024
